,Country,Total loans,Total amount of loans,Average loan amount,Date of first loan registered,Date of last loan registered
0,Afghanistan,2264,1899250.0,838.8913427561837,2007-01-19,2016-02-17
1,Albania,3327,4355650.0,1309.1824466486323,2012-05-14,2018-05-31
2,Armenia,14070,20489450.0,1456.2508884150675,2009-08-11,2018-06-01
3,Azerbaijan,9931,13857800.0,1395.408317389991,2006-12-09,2016-08-23
4,Bangladesh,1,50000.0,50000.0,2018-03-23,2018-03-23
5,Belize,214,148850.0,695.5607476635514,2012-12-20,2018-01-08
6,Benin,5899,3843675.0,651.5807764027801,2008-01-30,2018-04-06
7,Bhutan,1,10000.0,10000.0,2017-07-06,2017-07-06
8,Bolivia,24925,41812200.0,1677.520561685055,2007-03-26,2018-05-31
9,Bosnia and Herzegovina,576,441325.0,766.1892361111111,2007-12-18,2009-06-26
10,Botswana,1,8000.0,8000.0,2013-01-06,2013-01-06
11,Brazil,639,1567475.0,2453.012519561815,2013-10-17,2018-05-30
12,Bulgaria,295,374300.0,1268.8135593220338,2005-03-31,2008-02-27
13,Burkina Faso,3495,4096600.0,1172.131616595136,2011-04-21,2018-05-31
14,Burundi,1647,4889150.0,2968.5185185185187,2010-03-28,2017-04-08
15,Cambodia,82800,52244500.0,630.9722222222222,2005-03-31,2018-06-01
16,Cameroon,5233,2258500.0,431.5879992356201,2007-02-19,2018-05-20
17,Canada,1,50000.0,50000.0,2017-09-22,2017-09-22
18,Chile,877,2503125.0,2854.1904218928166,2009-12-28,2015-04-18
19,China,119,339350.0,2851.6806722689075,2014-11-11,2017-04-21
20,Colombia,35277,21961575.0,622.5465600816395,2009-12-19,2018-05-31
21,Congo (DRC),5288,19174300.0,3626.002269288956,2007-02-22,2018-05-31
22,Congo (Rep.),947,2252000.0,2378.035902851109,2010-06-02,2015-07-17
23,Costa Rica,4621,5408225.0,1170.3581475871024,2009-02-10,2018-05-30
24,Cote D'Ivoire,250,312000.0,1248.0,2007-04-26,2017-05-18
25,Dominican Republic,4663,9176025.0,1967.8372292515548,2007-02-21,2018-05-31
